"","Geoffroy's cat","Jaguar","Jaguarundi","Margay","Ocelot","Oncilla","Puma"
"Carnivora","  0"," 84"," 0"," 4"," 17"," 2","218"
"Cetartiodactyla","  3","102"," 3"," 0"," 20"," 0","277"
"Chiroptera","  0","  0"," 0"," 0","  3"," 0","  0"
"Cingulata","  2"," 32"," 3"," 3"," 14"," 0"," 52"
"Didelphimorphia","  8"," 18","27","26"," 57","22"," 38"
"Lagomorpha"," 14"," 18"," 4"," 5"," 11"," 4","102"
"Microbiotheria","  0","  0"," 0"," 0","  0"," 0","  1"
"Perissodactyla","  0","  5"," 0"," 0","  0"," 0","  6"
"Pilosa","  0"," 16"," 0"," 0"," 18"," 0"," 10"
"Primates","  0","  7"," 0"," 0"," 17"," 0"," 13"
"Rodentia","199"," 56","72","56","153","70","244"
"Xenarthra","  1","  0"," 0"," 0","  0"," 0","  0"
